processed 1 of 11 files
processed 11 of 11 files
         35593831 function calls (35376764 primitive calls) in 30.630 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    36686    0.016    0.000    0.016    0.000 {spacy.strings.get_string_id}
     1800    0.006    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:361(cache_from_source)
    33616    0.010    0.000    0.016    0.000 lex_attrs.py:157(is_alpha)
      423    0.005    0.000    0.016    0.000 scanner.py:1539(scan_plain)
      305    0.011    0.000    0.016    0.000 {built-in method io.open}
        1    0.000    0.000    0.016    0.016 url.py:1(<module>)
        1    0.000    0.000    0.016    0.016 utils.py:3(<module>)
      273    0.004    0.000    0.016    0.000 configparser.py:1320(__init__)
    33616    0.009    0.000    0.016    0.000 lex_attrs.py:165(is_lower)
      272    0.000    0.000    0.016    0.000 configparser.py:720(read_string)
   110664    0.015    0.000    0.015    0.000 {built-in method builtins.min}
       33    0.001    0.000    0.015    0.000 managers.py:1144(insert)
        1    0.000    0.000    0.015    0.015 pyparsing.py:27(<module>)
        2    0.000    0.000    0.015    0.008 _util.py:1(<module>)
      542    0.000    0.000    0.015    0.000 parser.py:345(parse_block_node_or_indentless_sequence)
      272    0.000    0.000    0.015    0.000 configparser.py:705(read_file)
      918    0.015    0.000    0.015    0.000 {method 'read' of '_io.BufferedReader' objects}
      272    0.007    0.000    0.015    0.000 configparser.py:996(_read)
      543    0.003    0.000    0.015    0.000 parser.py:353(parse_node)
    62230    0.007    0.000    0.015    0.000 doc.pyx:897(__pyx_fuse_1push_back)
       61    0.009    0.000    0.015    0.000 __init__.py:100(get_all)
    67681    0.015    0.000    0.015    0.000 {built-in method unicodedata.category}
        2    0.000    0.000    0.015    0.007 lex_attrs.py:1(<module>)
      781    0.005    0.000    0.015    0.000 inspect.py:2150(_signature_from_function)
     1438    0.001    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:154(_path_isfile)
        3    0.000    0.000    0.014    0.005 config.py:748(_make)
     16/3    0.001    0.000    0.014    0.005 config.py:795(_fill)
     1544    0.001    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:145(_path_is_mode_type)
     1915    0.014    0.000    0.014    0.000 {method 'sub' of 're.Pattern' objects}
       14    0.001    0.000    0.014    0.001 config.py:201(interpret_config)
    33616    0.009    0.000    0.014    0.000 lex_attrs.py:161(is_digit)
       22    0.000    0.000    0.014    0.001 frame.py:3584(__setitem__)
        1    0.000    0.000    0.014    0.014 __init__.py:19(<module>)
    42128    0.010    0.000    0.014    0.000 sre_parse.py:164(__getitem__)
        1    0.000    0.000    0.014    0.014 language.py:730(add_pipe)
        1    0.000    0.000    0.013    0.013 language.py:617(create_pipe)
        2    0.000    0.000    0.013    0.007 types.py:1(<module>)
     1987    0.001    0.000    0.013    0.000 <frozen importlib._bootstrap>:385(cached)
        1    0.000    0.000    0.013    0.013 specifiers.py:5(<module>)
        7    0.000    0.000    0.013    0.002 base.py:1(<module>)
        1    0.000    0.000    0.013    0.013 initializers.py:1(<module>)
        1    0.000    0.000    0.013    0.013 universaldetector.py:28(<module>)
      160    0.000    0.000    0.013    0.000 _decorators.py:483(__call__)
    33616    0.008    0.000    0.013    0.000 lex_attrs.py:173(is_title)
    33616    0.008    0.000    0.013    0.000 lex_attrs.py:169(is_space)
  220/132    0.003    0.000    0.013    0.000 base.py:375(__new__)
    33616    0.008    0.000    0.012    0.000 lex_attrs.py:177(is_upper)
        1    0.000    0.000    0.012    0.012 _internal_utils.py:3(<module>)
     3005    0.005    0.000    0.012    0.000 typing.py:137(_type_check)
        2    0.000    0.000    0.012    0.006 compat.py:3(<module>)
