         8045514 function calls (7978869 primitive calls) in 9.627 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   113160    0.015    0.000    0.015    0.000 {method 'isalpha' of 'str' objects}
        1    0.000    0.000    0.015    0.015 printer.py:2(<module>)
        4    0.000    0.000    0.015    0.004 six.py:215(is_package)
        1    0.000    0.000    0.015    0.015 six.py:120(__getattr__)
        1    0.000    0.000    0.015    0.015 pyparsing.py:6398(pyparsing_common)
      256    0.001    0.000    0.015    0.000 pathlib.py:1252(read_text)
        2    0.000    0.000    0.015    0.008 utils.py:5(<module>)
      231    0.001    0.000    0.015    0.000 _decorators.py:368(decorator)
25811/25805    0.007    0.000    0.015    0.000 {built-in method builtins.all}
     3144    0.004    0.000    0.015    0.000 enum.py:358(__call__)
   112384    0.014    0.000    0.014    0.000 {method 'isupper' of 'str' objects}
        1    0.000    0.000    0.014    0.014 lemmatizer.py:289(from_disk)
        1    0.000    0.000    0.014    0.014 lemmatizer.py:302(<lambda>)
      423    0.002    0.000    0.014    0.000 composer.py:147(compose_scalar_node)
        1    0.000    0.000    0.014    0.014 cupy_ops.py:1(<module>)
      279    0.000    0.000    0.014    0.000 pathlib.py:1236(open)
        4    0.000    0.000    0.014    0.003 numeric.py:1(<module>)
      965    0.014    0.000    0.014    0.000 {method 'findall' of 're.Pattern' objects}
     2623    0.009    0.000    0.014    0.000 <frozen importlib._bootstrap>:166(_get_module_lock)
       10    0.000    0.000    0.013    0.001 _json_api.py:42(read_json)
        2    0.000    0.000    0.013    0.007 interval.py:1(<module>)
    14921    0.010    0.000    0.013    0.000 lex_attrs.py:78(is_currency)
   116444    0.013    0.000    0.013    0.000 {built-in method builtins.ord}
    18693    0.008    0.000    0.013    0.000 sre_parse.py:249(match)
        1    0.000    0.000    0.013    0.013 _pickle.py:1(<module>)
        1    0.000    0.000    0.013    0.013 corpus.py:1(<module>)
        1    0.000    0.000    0.013    0.013 specifiers.py:317(Specifier)
        1    0.000    0.000    0.013    0.013 client.py:1(<module>)
       10    0.012    0.001    0.013    0.001 {built-in method srsly.ujson.ujson.load}
        5    0.000    0.000    0.013    0.003 __init__.py:109(import_module)
     2752    0.003    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:1337(_path_importer_cache)
        5    0.000    0.000    0.012    0.002 <frozen importlib._bootstrap>:1018(_gcd_import)
        1    0.000    0.000    0.012    0.012 config.py:193(interpolate)
     9337    0.007    0.000    0.012    0.000 typing.py:655(_is_dunder)
        1    0.000    0.000    0.012    0.012 augment.py:1(<module>)
       43    0.004    0.000    0.012    0.000 enum.py:179(__new__)
        1    0.000    0.000    0.012    0.012 nodes.py:1(<module>)
        1    0.000    0.000    0.012    0.012 describe.py:1(<module>)
        3    0.000    0.000    0.012    0.004 concat.py:1(<module>)
     1245    0.002    0.000    0.012    0.000 <frozen importlib._bootstrap>:203(_lock_unlock_module)
       15    0.000    0.000    0.011    0.001 dataclasses.py:998(dataclass)
       15    0.000    0.000    0.011    0.001 dataclasses.py:1012(wrap)
       15    0.001    0.000    0.011    0.001 dataclasses.py:809(_process_class)
        2    0.000    0.000    0.011    0.006 util.py:625(load_config)
        1    0.000    0.000    0.011    0.011 defmatrix.py:1(<module>)
        1    0.000    0.000    0.011    0.011 aggregation.py:1(<module>)
      750    0.001    0.000    0.011    0.000 vocab.pyx:242(__getitem__)
      167    0.011    0.000    0.011    0.000 {method 'copy' of 'numpy.ndarray' objects}
     1998    0.001    0.000    0.011    0.000 typing.py:463(<genexpr>)
        1    0.000    0.000    0.011    0.011 __init__.py:15(<module>)
        1    0.000    0.000    0.011    0.011 metadata.py:1(<module>)
      899    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1077(path_stats)
      751    0.005    0.000    0.011    0.000 doc.pyx:177(__init__)
2284/1668    0.003    0.000    0.010    0.000 configparser.py:765(get)
     2584    0.006    0.000    0.010    0.000 inspect.py:2515(__init__)
        1    0.000    0.000    0.010    0.010 cookiejar.py:1(<module>)
    14921    0.008    0.000    0.010    0.000 lex_attrs.py:181(is_stop)
      191    0.001    0.000    0.010    0.000 typing.py:899(__getitem__)
     3395    0.010    0.000    0.010    0.000 {built-in method __new__ of type object at 0x55f566a4c300}
        1    0.000    0.000    0.010    0.010 cyaml.py:3(<module>)
        1    0.000    0.000    0.010    0.010 util.py:318(get_lang_class)
      572    0.003    0.000    0.010    0.000 pathlib.py:672(_parse_args)
     2929    0.003    0.000    0.010    0.000 composer.py:40(parser)
        1    0.000    0.000    0.010    0.010 generic.py:3297(to_csv)
     3145    0.002    0.000    0.010    0.000 typing.py:128(_type_convert)
      213    0.002    0.000    0.010    0.000 sre_compile.py:536(_compile_info)
      242    0.001    0.000    0.010    0.000 abc.py:105(__new__)
     7840    0.007    0.000    0.010    0.000 parser.py:121(scanner)
        1    0.000    0.000    0.010    0.010 format.py:1056(to_csv)
     1894    0.006    0.000    0.010    0.000 inspect.py:1876(_signature_is_functionlike)
