processed 1 of 11 files
processed 11 of 11 files
         35169196 function calls (34952123 primitive calls) in 36.515 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      542    0.000    0.000    0.017    0.000 parser.py:345(parse_block_node_or_indentless_sequence)
       11    0.017    0.002    0.017    0.002 {method 'splitlines' of 'str' objects}
    67701    0.017    0.000    0.017    0.000 {built-in method unicodedata.category}
     1543    0.001    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:145(_path_is_mode_type)
       22    0.000    0.000    0.017    0.001 frame.py:3584(__setitem__)
       61    0.010    0.000    0.016    0.000 __init__.py:100(get_all)
      543    0.003    0.000    0.016    0.000 parser.py:353(parse_node)
      423    0.005    0.000    0.016    0.000 scanner.py:1539(scan_plain)
        2    0.000    0.000    0.016    0.008 _util.py:1(<module>)
      254    0.001    0.000    0.016    0.000 metadata.py:508(read_text)
      781    0.005    0.000    0.016    0.000 inspect.py:2150(_signature_from_function)
        1    0.000    0.000    0.016    0.016 compute.py:210(_make_global_functions)
    33626    0.011    0.000    0.016    0.000 lex_attrs.py:161(is_digit)
        3    0.000    0.000    0.016    0.005 config.py:748(_make)
     16/3    0.001    0.000    0.015    0.005 config.py:795(_fill)
    42128    0.011    0.000    0.015    0.000 sre_parse.py:164(__getitem__)
      107    0.001    0.000    0.015    0.000 compute.py:190(_wrap_function)
    15133    0.014    0.000    0.015    0.000 sre_parse.py:172(append)
    33626    0.010    0.000    0.015    0.000 lex_attrs.py:173(is_title)
        7    0.000    0.000    0.015    0.002 base.py:1(<module>)
       14    0.001    0.000    0.015    0.001 config.py:201(interpret_config)
     1985    0.002    0.000    0.015    0.000 <frozen importlib._bootstrap>:385(cached)
        1    0.000    0.000    0.015    0.015 specifiers.py:5(<module>)
     3004    0.006    0.000    0.015    0.000 typing.py:137(_type_check)
        1    0.000    0.000    0.015    0.015 _base.py:1(<module>)
    33626    0.010    0.000    0.015    0.000 lex_attrs.py:169(is_space)
        2    0.000    0.000    0.015    0.007 types.py:1(<module>)
  220/132    0.003    0.000    0.015    0.000 base.py:375(__new__)
      271    0.002    0.000    0.015    0.000 metadata.py:444(search)
        5    0.000    0.000    0.014    0.003 __init__.py:109(import_module)
        1    0.000    0.000    0.014    0.014 initializers.py:1(<module>)
        5    0.000    0.000    0.014    0.003 <frozen importlib._bootstrap>:1018(_gcd_import)
    33626    0.009    0.000    0.014    0.000 lex_attrs.py:177(is_upper)
     4596    0.008    0.000    0.014    0.000 sre_parse.py:258(getwhile)
        4    0.000    0.000    0.014    0.004 core.py:1(<module>)
        1    0.000    0.000    0.014    0.014 language.py:730(add_pipe)
    42595    0.014    0.000    0.014    0.000 {method 'endswith' of 'str' objects}
        1    0.000    0.000    0.014    0.014 language.py:617(create_pipe)
       11    0.001    0.000    0.014    0.001 frame.py:1510(from_dict)
        1    0.000    0.000    0.014    0.014 utils.py:3(<module>)
        3    0.000    0.000    0.014    0.005 config.py:445(from_disk)
       11    0.000    0.000    0.014    0.001 _decorators.py:302(wrapper)
       44    0.001    0.000    0.014    0.000 frame.py:573(__init__)
       66    0.000    0.000    0.013    0.000 common.py:54(new_method)
     1086    0.002    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:491(_get_cached)
    33626    0.013    0.000    0.013    0.000 lex_attrs.py:54(is_bracket)
        1    0.000    0.000    0.013    0.013 printer.py:2(<module>)
       11    0.000    0.000    0.013    0.001 frame.py:5584(reset_index)
        1    0.000    0.000    0.013    0.013 describe.py:1(<module>)
       44    0.001    0.000    0.013    0.000 managers.py:276(apply)
    44926    0.013    0.000    0.013    0.000 {built-in method builtins.getattr}
       66    0.001    0.000    0.013    0.000 series.py:5516(_arith_method)
 6329/545    0.009    0.000    0.013    0.000 sre_parse.py:174(getwidth)
       36    0.000    0.000    0.013    0.000 _msgpack_api.py:17(msgpack_loads)
       36    0.000    0.000    0.013    0.000 __init__.py:70(unpackb)
        1    0.000    0.000    0.013    0.013 util.py:318(get_lang_class)
    33157    0.013    0.000    0.013    0.000 {method 'count' of 'str' objects}
     9127    0.006    0.000    0.013    0.000 typing.py:703(__setattr__)
       11    0.000    0.000    0.012    0.001 collocate_single_text.py:48(find_collocates)
        2    0.000    0.000    0.012    0.006 interval.py:1(<module>)
        1    0.000    0.000    0.012    0.012 series.py:1(<module>)
     1372    0.002    0.000    0.012    0.000 <frozen importlib._bootstrap>:156(__enter__)
        1    0.000    0.000    0.012    0.012 language.py:2036(<lambda>)
        1    0.000    0.000    0.012    0.012 {method 'from_disk' of 'spacy.pipeline.trainable_pipe.TrainablePipe' objects}
        1    0.000    0.000    0.012    0.012 trainable_pipe.pyx:320(from_disk)
    69340    0.012    0.000    0.012    0.000 {method 'replace' of 'str' objects}
      426    0.002    0.000    0.012    0.000 typing.py:822(__getitem__)
      254    0.001    0.000    0.012    0.000 typing.py:469(Optional)
       26    0.000    0.000    0.012    0.000 pyparsing.py:3294(__init__)
        1    0.000    0.000    0.012    0.012 trainable_pipe.pyx:331(load_model)
    33626    0.012    0.000    0.012    0.000 lex_attrs.py:59(is_quote)
        1    0.000    0.000    0.012    0.012 index_tricks.py:1(<module>)
        1    0.000    0.000    0.012    0.012 model.py:583(from_bytes)
     1744    0.007    0.000    0.012    0.000 functools.py:35(update_wrapper)
      273    0.012    0.000    0.012    0.000 {built-in method builtins.dir}
        9    0.000    0.000    0.012    0.001 six.py:85(_import_module)
